HIOS Plan ID,Plan Marketing Name,HIOS Product ID,Market Coverage,Dental Only Plan,Network ID,Service Area ID,Formulary ID,New\Existing Plan,Plan Type,Level of Coverage,Unique Plan Design,QHP\Non QHP,Notice Required for Pregnancy,Is a Referral Required for Specialist,Specialist s  Requiring a Referral,Plan Level Exclusions,Limited Cost Sharing Plan Variation   Est Advanced Payment,Child Only Offering,Child Only Plan ID,Wellness Program Offered,Disease Management Programs Offered,EHB Apportionment for Pediatric Dental,Guaranteed vs  Estimated Rate,Plan Effective Date,Plan Expiration Date,Out of Country Coverage,Out of Country Coverage Description,Out of Service Area Coverage,Out of Service Area Coverage Description,National Network,Enrollment Payment URL,Life Cycle Status Name,EHB Percent of Total Premium,Does this plan offer Composite Rating,Design Type,Plan Published Indicator
33602TX0430052,Blue Choice Bronze PPOSM 833,33602TX043,Small Group,No,TXN012,TXS002,TXF006,Existing,PPO,Bronze,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
66252TX0160003,CHRISTUS Silver,66252TX016,Individual,No,TXN001,TXS003,TXF007,Existing,HMO,Silver,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,Diabetes,,,2024-01-01,2024-12-31,Yes,Emergency Services,No,,No,https://ssoprod.healthplan.com/sp/ACS.saml2,Published,100.00,No,Not Applicable,Yes
66252TX0240010,CHRISTUS Platinum,66252TX024,Individual,No,TXN001,TXS010,TXF006,Existing,HMO,Platinum,No,Off the Exchange,No,No,,,0.00,Allows Adult and Child-Only,,No,Diabetes,,,2024-01-01,2024-12-31,Yes,Emergency Services,No,,No,https://ssoprod.healthplan.com/sp/ACS.saml2,Published,100.00,No,Not Applicable,Yes
66252TX0280012,CHRISTUS Standard Silver,66252TX028,Individual,No,TXN001,TXS012,TXF008,Existing,HMO,Silver,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,Diabetes,,,2024-01-01,2024-12-31,Yes,Emergency Services,No,,No,https://ssoprod.healthplan.com/sp/ACS.saml2,Published,100.00,No,Design 1,Yes
66252TX0290003,CHRISTUS Standard Gold,66252TX029,Individual,No,TXN001,TXS003,TXF009,Existing,HMO,Gold,No,Both,No,No,,,0.00,Allows Adult and Child-Only,,No,Diabetes,,,2024-01-01,2024-12-31,Yes,Emergency Services,No,,No,https://ssoprod.healthplan.com/sp/ACS.saml2,Published,100.00,No,Design 1,Yes
33602TX0470989,Blue Advantage Silver HMOSM 846,33602TX047,Small Group,No,TXN011,TXS201,TXF003,Existing,HMO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"No coverage for any services, supplies or drugs received by a Member outside of the United States, except for Emergency Care",Yes,Coverage outside our service area is available for Emergency and Urgent Care services only.,No,N/A,Published,,No,,Yes
33602TX0430040,Blue Choice Gold PPOSM 820,33602TX043,Small Group,No,TXN012,TXS002,TXF008,Existing,PPO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
87226TX0050006,Standard Ambetter Virtual Access Gold (Virtual PCP selection required),87226TX005,Individual,No,TXN002,TXS005,TXF004,Existing,HMO,Gold,No,Both,Yes,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Diabetes,Pregnancy",,,2024-01-01,2024-12-31,No,,No,,No,https://ambetter.superiorhealthplan.com/payments,Published,100.00,No,Design 1,Yes
29418TX0160102,Everyday Gold + Vision + Adult Dental,29418TX016,Individual,No,TXN001,TXS001,TXF005,Existing,EPO,Gold,Yes,Both,Yes,No,,,0.00,Allows Adult and Child-Only,,No,"Asthma,Heart Disease,Diabetes,Pregnancy",,,2024-01-01,2024-12-31,No,,No,,No,https://ambetter.superiorhealthplan.com/payments,Published,96.27,No,Not Applicable,Yes
33602TX0430053,Blue Choice Silver PPOSM 845,33602TX043,Small Group,No,TXN012,TXS002,TXF008,Existing,PPO,Silver,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
33602TX0430059,Blue Choice Gold PPOSM 103,33602TX043,Small Group,No,TXN012,TXS002,TXF010,Existing,PPO,Gold,No,Off the Exchange,No,No,,,,Allows Adult and Child-Only,,Yes,"Asthma,Heart Disease,Depression,Diabetes,Pain Management,Pregnancy,High Blood Pressure & High Cholesterol,Low Back Pain,Weight Loss Programs",,,2024-01-01,2024-12-31,Yes,"This plan does not cover any services and/or supplies provided to a member outside of the United States, if the member traveled to the location for the purposes of receiving medical services, supplies, or drugs.",Yes,"When accessing care outside our service area, you will obtain care from healthcare Providers that have a contractual agreement (i.e., are Participating Providers) with the local Blue Cross and/or Blue Shield Licensee in that other geographic area (Host Blue). In some instances, you may obtain care from Non-Participating Providers.",Yes,N/A,Published,,No,,Yes
