Plan ID,Rate Effective Date,Rate Expiration Date,Age,Tobacco,Rating Area ID,Individual Rate,Individual Tobacco Rate,Couple,Primary Subscriber and One Dependent,Primary Subscriber and Two Dependents,Primary Subscriber and Three Dependents,Couple and One Dependent,Couple and Two Dependents,Couple and Three Dependents,HIOS Issuer ID,Market Coverage
71837TX0010001,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 3,325.15,325.15,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 3,354.05,354.05,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 3,365.10,365.10,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 3,376.15,376.15,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 3,388.05,388.05,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 3,399.95,399.95,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 3,412.28,412.28,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 3,425.03,446.28,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 3,425.03,450.96,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 3,425.03,455.21,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,24,Tobacco User/Non-Tobacco User,Rating Area 3,425.03,459.88,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,25,Tobacco User/Non-Tobacco User,Rating Area 3,426.73,466.41,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,26,Tobacco User/Non-Tobacco User,Rating Area 3,435.23,480.49,,,,,,,,71837,Individual
71837TX0010001,2024-01-01,2024-12-31,27,Tobacco User/Non-Tobacco User,Rating Area 3,445.43,496.21,,,,,,,,71837,Individual
