Plan ID,Rate Effective Date,Rate Expiration Date,Age,Tobacco,Rating Area ID,Individual Rate,Individual Tobacco Rate,Couple,Primary Subscriber and One Dependent,Primary Subscriber and Two Dependents,Primary Subscriber and Three Dependents,Couple and One Dependent,Couple and Two Dependents,Couple and Three Dependents,HIOS Issuer ID,Market Coverage
20069TX0100003,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 18,245.85,245.85,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 25,246.68,246.68,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 3,274.98,274.98,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 8,246.57,246.57,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,0-14,Tobacco User/Non-Tobacco User,Rating Area 9,224.92,224.92,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 18,267.70,267.70,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 25,268.61,268.61,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 3,299.42,299.42,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 8,268.49,268.49,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,15,Tobacco User/Non-Tobacco User,Rating Area 9,244.91,244.91,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 18,276.06,276.06,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 25,277.00,277.00,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 3,308.77,308.77,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 8,276.87,276.87,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,16,Tobacco User/Non-Tobacco User,Rating Area 9,252.55,252.55,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 18,284.41,284.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 25,285.38,285.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 3,318.11,318.11,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 8,285.25,285.25,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,17,Tobacco User/Non-Tobacco User,Rating Area 9,260.20,260.20,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 18,293.41,293.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 25,294.41,294.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 3,328.18,328.18,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 8,294.27,294.27,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,18,Tobacco User/Non-Tobacco User,Rating Area 9,268.43,268.43,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 18,302.41,302.41,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 25,303.44,303.44,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 3,338.24,338.24,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 8,303.30,303.30,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,19,Tobacco User/Non-Tobacco User,Rating Area 9,276.66,276.66,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 18,311.73,311.73,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 25,312.79,312.79,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 3,348.67,348.67,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 8,312.64,312.64,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,20,Tobacco User/Non-Tobacco User,Rating Area 9,285.19,285.19,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 25,322.47,322.47,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,21,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 25,322.47,322.47,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 3,359.46,359.46,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 8,322.32,322.32,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,22,Tobacco User/Non-Tobacco User,Rating Area 9,294.02,294.02,,,,,,,,20069,Individual
20069TX0100003,2024-01-01,2024-12-31,23,Tobacco User/Non-Tobacco User,Rating Area 18,321.38,321.38,,,,,,,,20069,Individual
