HIOS Plan ID,Level of Coverage,CSR Variation Type,Issuer Actuarial Value,AV Calculator Output Number,Medical and Drug Deductibles Integrated ,Medical and Drug Maximum Out Of Pocket Integrated ,Multiple In Network Tiers ,1st Tier Utilization,2nd Tier Utilization, Plan Brochure,URL for Summary of Benefits and Coverage,HSA Eligible,HSA\HRA Employer Contribution,HSA\HRA Employer Contribution Amount,Maximum Coinsurance for Specialty Drugs,Maximum Number of Days for Charging an Inpatient Copay,Begin Primary Care Cost Sharing After a Set Number of Visits,Begin Primary Care Deductible\ Coinsurance After a Set Number of Copays,Plan Variant Marketing Name
66252TX0160003,Silver,Exchange variant (no CSR),,70.06,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Silver.pdf,No,No,,,,2,,CHRISTUS Silver
66252TX0160003,Silver,Non-Exchange variant,,70.06,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Silver.pdf,No,No,,,,2,,CHRISTUS Silver
66252TX0240010,Platinum,Non-Exchange variant,,91.86,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Platinum.pdf,No,No,,,,2,,CHRISTUS Platinum
66252TX0280012,Silver,Exchange variant (no CSR),,70.01,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Standard_Silver.pdf,No,No,,,,,,CHRISTUS Standard Silver
66252TX0280012,Silver,Non-Exchange variant,,70.01,Yes,Yes,No,100%,,https://chppayment.christushealth.org/documents/2024/PB/TX_HIX_Plan_Brochure_2024.pdf,https://chppayment.christushealth.org/documents/2024/SBC/66252_CHRISTUS_Standard_Silver.pdf,No,No,,,,,,CHRISTUS Standard Silver
33602TX0430040,Gold,Non-Exchange variant,,80.98,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-gpsg12bcastxo-tx-2024.pdf,No,No,,,,,,Blue Choice Gold PPOSM 820
33602TX0430060,Gold,Non-Exchange variant,,81.22,Yes,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-gpsj60bcastxo-tx-2024.pdf,No,No,,,,,,Blue Choice Gold PPOSM 112
17933TX0010004,Silver,Exchange variant (no CSR),70.09,,Yes,Yes,No,100%,,https://www.modahealth.com/-/media/modahealth/shared/plans/TX/2024/individual/Moda-Select-Silver-4800-0-Virtual-Care-SOB-2024-TX.pdf,https://www.modahealth.com/-/media/modahealth/shared/plans/TX/2024/individual/Moda-Select-Silver-4800-0-Virtual-Care-SBC-2024-TX.pdf,No,No,,,,,,Moda Select Silver 4800 ($0 Virtual Care)
17933TX0010004,Silver,Non-Exchange variant,70.09,,Yes,Yes,No,100%,,https://www.modahealth.com/-/media/modahealth/shared/plans/TX/2024/individual/Moda-Select-Silver-4800-0-Virtual-Care-SOB-2024-TX.pdf,https://www.modahealth.com/-/media/modahealth/shared/plans/TX/2024/individual/Moda-Select-Silver-4800-0-Virtual-Care-SBC-2024-TX.pdf,No,No,,,,,,Moda Select Silver 4800 ($0 Virtual Care)
33602TX0470683,Gold,Non-Exchange variant,,81.22,Yes,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg12bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 812
33602TX0470703,Gold,Non-Exchange variant,,80.95,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg13bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 814
45786TX0020012,Silver,Exchange variant (no CSR),,70.21,Yes,Yes,No,100%,,https://www.molinamarketplace.com/members/tx/en-US/PDF/Marketplace/2024/TXBrochure2024.pdf,https://www.molinamarketplace.com/members/tx/en-US/PDF/Marketplace/2024/TX24SBCE_S12_1.pdf,No,No,,,,4,,Silver 12 with first 4 free PCP or MH visits
45786TX0020012,Silver,Non-Exchange variant,,70.21,Yes,Yes,No,100%,,https://www.molinamarketplace.com/members/tx/en-US/PDF/Marketplace/2024/TXBrochure2024.pdf,https://www.molinamarketplace.com/members/tx/en-US/PDF/Marketplace/2024/TX24SBCE_S12_1.pdf,No,No,,,,4,,Silver 12 Off Exchange with first 4 free PCP or MH visits
33602TX0470727,Gold,Non-Exchange variant,,80.98,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg14bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 816
33602TX0470742,Gold,Non-Exchange variant,,80.98,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg14bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 816
33602TX0470765,Gold,Non-Exchange variant,,80.54,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg15bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMOSM 817
33602TX0470808,Gold,Non-Exchange variant,,80.10,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg10bavstxo-tx-2024.pdf,Yes,Yes,300.0000,,,,,Blue Advantage Gold HMOSM 830
33602TX0470814,Gold,Non-Exchange variant,,80.10,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-ghsg10bavstxo-tx-2024.pdf,Yes,Yes,300.0000,,,,,Blue Advantage Gold HMOSM 830
33602TX0460975,Silver,Exchange variant (no CSR),,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0460975,Silver,Non-Exchange variant,,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0461059,Expanded Bronze,Exchange variant (no CSR),,63.96,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh44bavitxo-tx-2024.pdf,Yes,No,,,,,,Blue Advantage Bronze HMO 302
33602TX0461059,Expanded Bronze,Non-Exchange variant,,63.96,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh44bavitxo-tx-2024.pdf,Yes,No,,,,,,Blue Advantage Bronze HMO 302
33602TX0461065,Gold,Exchange variant (no CSR),,80.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsa27bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 603
33602TX0461065,Gold,Non-Exchange variant,,80.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsa27bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 603
33602TX0461094,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0470902,Silver,Non-Exchange variant,,70.86,No,Yes,Yes,85%,15%,N/A,https://www.bcbstx.com/sbc/grp/sbc-shsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMOSM 820
33602TX0460705,Expanded Bronze,Exchange variant (no CSR),,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
33602TX0460705,Expanded Bronze,Non-Exchange variant,,64.57,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh31bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 204
33602TX0460559,Gold,Exchange variant (no CSR),,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0460559,Gold,Non-Exchange variant,,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0460562,Gold,Exchange variant (no CSR),,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0460562,Gold,Non-Exchange variant,,79.73,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsh30bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Gold HMO 206
33602TX0460792,Bronze,Exchange variant (no CSR),,60.17,Yes,Yes,Yes,100%,0%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh41bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 301
33602TX0460792,Bronze,Non-Exchange variant,,60.17,Yes,Yes,Yes,100%,0%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh41bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 301
33602TX0460804,Bronze,Exchange variant (no CSR),,60.17,Yes,Yes,Yes,100%,0%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh41bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 301
33602TX0460804,Bronze,Non-Exchange variant,,60.17,Yes,Yes,Yes,100%,0%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsh41bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMO 301
33602TX0460847,Silver,Non-Exchange variant,,70.23,No,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa28bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 601
33602TX0460852,Silver,Non-Exchange variant,,70.23,No,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa28bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 601
33602TX0460856,Silver,Non-Exchange variant,,70.23,No,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa28bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 601
33602TX0460967,Silver,Exchange variant (no CSR),,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0460967,Silver,Non-Exchange variant,,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0460968,Silver,Exchange variant (no CSR),,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0460968,Silver,Non-Exchange variant,,70.01,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa72bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 705
33602TX0461080,Expanded Bronze,Exchange variant (no CSR),,64.19,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsa01bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Bronze 402
33602TX0461080,Expanded Bronze,Non-Exchange variant,,64.19,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsa01bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Bronze 402
33602TX0870038,Expanded Bronze,Exchange variant (no CSR),,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
33602TX0870038,Expanded Bronze,Non-Exchange variant,,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
40788TX0360047,Silver,Non-Exchange variant,,70.95,Yes,Yes,No,100%,,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,No,No,,,,1,,Silver HMO 80 4250
40788TX0360049,Silver,Non-Exchange variant,,71.25,Yes,Yes,No,100%,,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,No,No,,,,1,,Silver HMO 60 3250
40788TX0360050,Silver,Non-Exchange variant,,71.25,Yes,Yes,No,100%,,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,https://www.bswhealthplan.com/Group/Pages/default.aspx#small,No,No,,,,1,,Silver HMO 60 3250
33602TX0461071,Silver,Non-Exchange variant,,70.42,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 306
33602TX0461094,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461097,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461097,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461098,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461098,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461100,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461100,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0470593,Bronze,Non-Exchange variant,,61.84,Yes,Yes,No,100%,,N/A,https://www.bcbstx.com/sbc/grp/sbc-bhsg10bavstxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Bronze HMOSM 833
33602TX0461113,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461113,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461114,Silver,Exchange variant (no CSR),,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461114,Silver,Non-Exchange variant,,70.04,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsd16bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Silver HMO 801
33602TX0461124,Gold,Exchange variant (no CSR),,78.91,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsa01bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Gold 403
33602TX0461124,Gold,Non-Exchange variant,,78.91,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-ghsa01bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Gold 403
33602TX0461164,Expanded Bronze,Exchange variant (no CSR),,64.39,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsd42bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Bronze 806
33602TX0461164,Expanded Bronze,Non-Exchange variant,,64.39,Yes,Yes,No,100%,,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bhsd42bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Bronze 806
33602TX0461181,Silver,Exchange variant (no CSR),,70.69,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa03bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Silver 405
33602TX0461181,Silver,Non-Exchange variant,,70.69,Yes,Yes,Yes,70%,30%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-shsa03bftitxo-tx-2024.pdf,No,No,,,,,,MyBlue Health Silver 405
33602TX0870041,Expanded Bronze,Exchange variant (no CSR),,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
33602TX0870041,Expanded Bronze,Non-Exchange variant,,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
33602TX0870046,Expanded Bronze,Exchange variant (no CSR),,64.93,Yes,Yes,Yes,85%,15%,https://www.bcbstx.com/plan-docs/ind/brochure-tx-2024.pdf,https://www.bcbstx.com/sbc/ind/sbc-bosh45bavitxo-tx-2024.pdf,No,No,,,,,,Blue Advantage Plus Bronze 303
