Insurance Plan Identifier,Insurance Plan Variant Component Type Name,SBC Coverage Name,SBC Coverage Deductible Amount,SBC Coverage Copayment Amount,SBC Coverage Coinsurance Amount,SBC Coverage Limit Amount
33602TX0460548,Non-Exchange variant,Maternity,750.00,900.00,4100.00,60.00
33602TX0460548,Non-Exchange variant,Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460548,Non-Exchange variant,Diabetes,750.00,600.00,200.00,20.00
33602TX0460548,Exchange variant (no CSR),Maternity,750.00,900.00,4100.00,60.00
33602TX0460548,Exchange variant (no CSR),Treatment of a simple fracture,750.00,400.00,700.00,0.00
33602TX0460548,Exchange variant (no CSR),Diabetes,750.00,600.00,200.00,20.00
33602TX0460549,Non-Exchange variant,Maternity,0.00,2000.00,0.00,60.00
33602TX0460549,Non-Exchange variant,Treatment of a simple fracture,0.00,1100.00,0.00,0.00
33602TX0460549,Non-Exchange variant,Diabetes,0.00,800.00,0.00,20.00
33602TX0460552,Non-Exchange variant,Maternity,9450.00,0.00,0.00,60.00
33602TX0460552,Non-Exchange variant,Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460552,Non-Exchange variant,Diabetes,2100.00,400.00,0.00,20.00
33602TX0460552,Exchange variant (no CSR),Maternity,9450.00,0.00,0.00,60.00
33602TX0460552,Exchange variant (no CSR),Treatment of a simple fracture,2800.00,0.00,0.00,0.00
33602TX0460552,Exchange variant (no CSR),Diabetes,2100.00,400.00,0.00,20.00
33602TX0460553,Non-Exchange variant,Maternity,1950.00,900.00,4800.00,60.00
33602TX0460553,Non-Exchange variant,Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460553,Non-Exchange variant,Diabetes,1200.00,600.00,0.00,20.00
33602TX0460553,Exchange variant (no CSR),Maternity,1950.00,900.00,4800.00,60.00
33602TX0460553,Exchange variant (no CSR),Treatment of a simple fracture,1950.00,400.00,200.00,0.00
33602TX0460553,Exchange variant (no CSR),Diabetes,1200.00,600.00,0.00,20.00
33602TX0460554,Non-Exchange variant,Maternity,6000.00,900.00,2600.00,60.00
33602TX0460554,Non-Exchange variant,Treatment of a simple fracture,2400.00,400.00,0.00,0.00
33602TX0460554,Non-Exchange variant,Diabetes,1200.00,800.00,0.00,20.00
